Camera,C11,C12,C13,C14,C21,C22,C23,C24,C31,C32,C33,C34
0,3.99235687564161,39.4176809830138,-0.763289879714919,3.95917550891323,-14.4302310113271,-0.941441580237717,-27.4509701085667,-14.4294334377681,0.0122492403549385,-0.000145746037561476,-0.000569307087309741,0.0122493586975179
1,10.7732491138691,38.1264946071842,-0.763289879714919,3.95917550891323,-14.3746180623658,1.57741397558573,-27.4509701085667,-14.4294334377681,0.0120380326410739,-0.00226955971786568,-0.000569307087309741,0.0122493586975179
2,17.2347705752451,35.6742928552171,-0.763289879714919,3.95917550891323,-13.8817985491694,4.05136376169108,-27.4509701085667,-14.4294334377681,0.0114604857495905,-0.00432693859026821,-0.000569307087309741,0.0122493586975179
3,23.1648466976242,32.1415986686521,-0.763289879714919,3.95917550891323,-12.967961363655,6.39920755719158,-27.4509701085667,-14.4294334377681,0.010535567401452,-0.006250356046657,-0.000569307087309741,0.0122493586975179
4,28.4115710175871,27.612952030048,-0.763289879714919,3.95917550891323,-11.6543721542474,8.56116166063743,-27.4509701085667,-14.4294334377681,0.00928513675591998,-0.00799070501297492,-0.000569307087309741,0.0122493586975179
5,32.783962107723,22.2464450198344,-0.763289879714919,3.95917550891323,-9.98641547062268,10.458938059735,-27.4509701085667,-14.4294334377681,0.00775263046899231,-0.00948482219083578,-0.000569307087309741,0.0122493586975179
6,36.1472102542219,16.2194845275121,-0.763289879714919,3.95917550891323,-8.01981825563186,12.0333035545481,-27.4509701085667,-14.4294334377681,0.00598897801196656,-0.0106863124394105,-0.000569307087309741,0.0122493586975179
7,38.4089480152686,9.71829202388582,-0.763289879714919,3.95917550891323,-5.81604156497836,13.2397711386455,-27.4509701085667,-14.4294334377681,0.00404899042599288,-0.011561609218043,-0.000569307087309741,0.0122493586975179
8,39.5132944228568,2.89690375293431,-0.763289879714919,3.95917550891323,-3.42716233229531,14.0489301242964,-27.4509701085667,-14.4294334377681,0.00197856984928542,-0.0120892676590444,-0.000569307087309741,0.0122493586975179
9,39.4204778807222,-3.96464514889062,-0.763289879714919,3.95917550891323,-0.951585840448393,14.4295656094535,-27.4509701085667,-14.4294334377681,-0.000137134751244145,-0.0122493397879445,-0.000569307087309741,0.0122493586975179
10,38.1411683997958,-10.7211827985325,-0.763289879714919,3.95917550891323,1.55778602090522,14.3767583968827,-27.4509701085667,-14.4294334377681,-0.00225312139113104,-0.0120411201795077,-0.000569307087309741,0.0122493586975179
11,35.6958408820711,-17.1900968939384,-0.763289879714919,3.95917550891323,4.03398214677829,13.8868595200189,-27.4509701085667,-14.4294334377681,-0.00431258796891965,-0.0114658936062938,-0.000569307087309741,0.0122493586975179
12,32.1347256823718,-23.1743800956971,-0.763289879714919,3.95917550891323,6.40305406484515,12.9660625454274,-27.4509701085667,-14.4294334377681,-0.00625348102055261,-0.0105337128452463,-0.000569307087309741,0.0122493586975179
13,27.6442035272647,-28.3811645082491,-0.763289879714919,3.95917550891323,8.5483303120419,11.6637870421871,-27.4509701085667,-14.4294334377681,-0.00798048146061968,-0.00929392526531305,-0.000569307087309741,0.0122493586975179
14,22.3252720357013,-32.7303332710356,-0.763289879714919,3.95917550891323,10.4348764358609,10.0115549770043,-27.4509701085667,-14.4294334377681,-0.00946613877456192,-0.00777543232761074,-0.000569307087309741,0.0122493586975179
15,16.2961412471753,-36.1127161530844,-0.763289879714919,3.95917550891323,12.0162608904261,8.04533116176589,-27.4509701085667,-14.4294334377681,-0.0106735816234286,-0.00601163758958615,-0.000569307087309741,0.0122493586975179
16,9.76245074199095,-38.397747889835,-0.763289879714919,3.95917550891323,13.2330747175232,5.83126168249321,-27.4509701085667,-14.4294334377681,-0.011556945778345,-0.00406228205038908,-0.000569307087309741,0.0122493586975179
17,2.94168481931238,-39.5099858001108,-0.763289879714919,3.95917550891323,14.0450368804714,3.44308267624603,-27.4509701085667,-14.4294334377681,-0.0120870174557188,-0.00199227011363087,-0.000569307087309741,0.0122493586975179
18,-3.98207182651231,-39.4187213322506,-0.763289879714919,3.95917550891323,14.4299848779456,0.945206703069129,-27.4509701085667,-14.4294334377681,-0.0122492779662228,0.000142549944676354,-0.000569307087309741,0.0122493586975179
